"Título","Data","Material de Aula"
"31-Segurança e Privacidade de Dados","7/9/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/31-%20Seguran%C3%A7a%20e%20Privacidade%20de%20Dados?csf=1&web=1&e=tRufba"
"32-Big Data e Hadoop","7/20/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/32-%20Introdu%C3%A7%C3%A3o%20a%20Big%20Data%20e%20ao%20Ecossistema%20Hadoop?csf=1&web=1&e=aTH4v3"
"33-Processamento de Big Data com Spark","7/21/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/33-%20Processamento%20big%20data%20com%20SPARK?csf=1&web=1&e=jwkitZ"
"34-Banco de Dados Relacionais e SQL ","7/24/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/34-%20Banco%20de%20Dados%20relacionais%20e%20SQL?csf=1&web=1&e=xRtdrA"
"35-Engenharia de Dados e Data Lakes","7/30/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/35-%20Engenharia%20de%20Dados%20e%20Data%20Lakes?csf=1&web=1&e=boVmgw"
"36-Power BI do Zero","8/4/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/36-%20Power%20BI%20do%20Zero?csf=1&web=1&e=9MjZI7"
"37-Processamento de Big Data com DASK","8/7/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/37-%20Processamento%20big%20Data%20com%20DASK?csf=1&web=1&e=7UatdU"
"38-Bancos de Dados Não Relacionais - NoSQL ","8/12/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/37-%20Processamento%20big%20Data%20com%20DASK?csf=1&web=1&e=7UatdU"
"39-Docker na prática","8/14/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/39-%20Docker%20na%20pr%C3%A1tica?csf=1&web=1&e=XqcdcO"
"40-Processo ETL usando Python","8/17/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/40-%20Processo%20ETL%20usando%20Python?csf=1&web=1&e=14K3vz"
"41-Implementando pipeline e Web Scraping usando Python ","8/21/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/41-%20Implementando%20pipeline%20e%20Web%20Scraping%20usando%20Python?csf=1&web=1&e=6mMcrw"
"42- AWS Quicksight - O poderoso BI da Amazon","8/26/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/42-%20AWS%20Quicksight%20-%20O%20poderoso%20BI%20da%20Amazon?csf=1&web=1&e=ggJc7Z"
"43-Conhecendo as Práticas de MLOps","8/27/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/43-%20Conhecendo%20as%20Pr%C3%A1ticas%20de%20MLOps?csf=1&web=1&e=y7JPzC"
"44-Navegando nas ferramentas da AWS","8/28/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/44-%20Navegando%20nas%20ferramentas%20da%20AWS?csf=1&web=1&e=HKQK60"
"45-Introdução à Cloud: Kubernets ","9/4/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/45-%20Introdu%C3%A7%C3%A3o%20%C3%A0%20Cloud%20-%20Kubernets?csf=1&web=1&e=fkQSui"
"46-Conhecendo as ferramentas do Google Cloud Platform (GCP)","9/8/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/45-%20Introdu%C3%A7%C3%A3o%20%C3%A0%20Cloud%20-%20Kubernets?csf=1&web=1&e=fkQSui"
"47-Práticas de DevOps","9/9/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/47-%20Pr%C3%A1ticas%20de%20DevOps?csf=1&web=1&e=IJO3iQ"
"48-Conhecendo as ferramentas da Microsoft Azure ","9/10/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/48-%20Conhecendo%20as%20ferramentas%20da%20Azure?csf=1&web=1&e=G51Z4R"
"49-Escrita de Artigos e Metodologia Científica","9/11/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/49-%20Escrita%20de%20Artigos%20Cient%C3%ADficos%20e%20Metodologia%20Cient%C3%ADfica?csf=1&web=1&e=5CZ2xe"
"50-Comportamento de Empreendedorismo","9/21/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/50-%20Comportamento%20de%20Empreendedorismo?csf=1&web=1&e=0IshjD"
"51-Inovação e Mercado","9/23/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/51-%20Inova%C3%A7%C3%A3o%20e%20mercado?csf=1&web=1&e=nfGTHw"
"52-O que é inovação? Tipos de Inovação","9/24/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/52-%20O%20que%20%C3%A9%20inova%C3%A7%C3%A3o%20-%20Quais%20os%20tipos%20de%20inova%C3%A7%C3%A3o%20e%20Inova%C3%A7%C3%A3o%20na%20atualidade?csf=1&web=1&e=DznwN5"
"53-Qualidades da mente inovadora ","10/1/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/53-%20Qualidades%20da%20mente%20inovadora%20-%20como%20identificar,%20como%20melhorar?csf=1&web=1&e=zaURFB"
"54-Carreira e Empreendedorismo","10/2/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/54-%20Carreira%20e%20Empreendedorismo?csf=1&web=1&e=g08KKy"
"55- Surveys","10/6/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/55-%20Surveys?csf=1&web=1&e=R7UHTj"
"56-O que são oportunidades?","10/7/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/56-%20O%20que%20s%C3%A3o%20oportunidades?csf=1&web=1&e=ZYopuu"
"57-Desk Research","10/9/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/57-%20Desk%20Research?csf=1&web=1&e=HKZeor"
"58-Benchmarking","10/14/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/58-%20Benchmarking?csf=1&web=1&e=haU9AG"
"59-Outcome Driven Innovation","10/15/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/59-%20Outcome%20Driven%20Innovation?csf=1&web=1&e=ATjqSP"
